problem_name,best_HV,error,current_instance,confidence_interval_90,confidence_interval_95,confidence_interval_98,confidence_interval_99
parametric_truss_example,2.9624898083947515e8,0.1,0,"[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]","[1,1,1,1,1,1,1,1,1,1]"
"[2.959579640827524e8,2.960292540520945e8,2.9608362536478823e8,2.961253657205927e8,2.9615525805165166e8,2.961703192323296e8,2.961763504694194e8,2.9617635046944386e8,2.961795652514009e8,2.961796676421502e8,2.961855811253903e8,2.961856223307462e8,2.961896338276783e8,2.961896338296461e8,2.961917277693128e8,2.9620013411746144e8,2.9620016732452375e8,2.9620628729194415e8,2.962063102545684e8,2.9620631046848583e8,2.962063104749446e8,2.962075112602805e8,2.962075311285277e8,2.962104539186461e8,2.962106475875708e8,2.962119474007537e8,2.962119474009007e8,2.962119908768382e8,2.962140058469751e8,2.962140058471058e8,2.9621400584710735e8,2.962140058471699e8,2.962140321416535e8,2.96214185662649e8,2.96215524318999e8,2.96215756579792e8,2.9621576635647655e8,2.962157663566097e8,2.9621576635661e8,2.9622255878080124e8,2.962239922424893e8,2.962269556662666e8,2.962269556666694e8,2.962272960546719e8,2.962274337949498e8,2.962282388892176e8,2.96228238889218e8,2.9622824250197023e8,2.962282425019703e8,2.9622824250220054e8,2.962287656897179e8,2.962287657729571e8,2.9623061673439777e8,2.9623061673444545e8,2.9623061673474425e8,2.9623161719070446e8,2.962316172510047e8,2.9623925683446866e8,2.9623925683453524e8,2.9623925683530104e8,2.962392568603025e8,2.9623925686030257e8,2.962401575908479e8,2.9624016641338885e8,2.9624016641338885e8,2.9624016641344833e8,2.962414337615852e8,2.962414337615852e8,2.962414337615898e8,2.9624394841388935e8,2.9624394841388947e8,2.9624394841388965e8,2.962439484138897e8,2.962439484138897e8,2.96243948414159e8,2.9624394841774714e8,2.962439484177488e8,2.962439484177791e8,2.962470495700341e8,2.96247049601683e8,2.9624704960171247e8,2.9624704960182136e8,2.9624704960182136e8,2.9624704960182136e8,2.962474280878225e8,2.9624742808826435e8,2.962474280884835e8,2.9624742808958936e8,2.962474280925782e8,2.962474285707884e8,2.962474285709014e8,2.962474285709014e8,2.96247428570902e8,2.962474285709743e8,2.962475343166096e8,2.962475397036917e8,2.9624895411587995e8,2.9624895411588e8,2.9624898083940524e8,2.9624898083947515e8]"
,,,,,,,
